School Year,Dates,Reason,
2020-2021,3/11/21,Afternoon parent teacher conferences for middle schools and district 75 schools and programs; students in these schools dismissed three hours early.,
2020-2021,3/18/21,"Evening parent teacher conferences for high schools, K-12, and 6-12 schools.",
2020-2021,3/19/21,"Afternoon parent teacher conferences for high schools, K-12, and 6-12 schools; students in these schools dismissed three hours early.",
2020-2021,April 1-2 2021,"Spring Recess, schools closed",
2020-2021,March 29-31 2021,"Spring Recess, schools closed",
2020-2021,5/13/21,"Eid Al-Fitr, schools closed",
2020-2021,5/31/21,"Memorial Day, schools closed",
2020-2021,6/3/21,Anniversary Day. Chancellor’s Conference Day for staff development.  Students not in attendance.,
2020-2021,6/8/21,"Clerical Day for K-5, K-6, 6-8, and K-12 and D75 schools and programs only; students in these schools do not attend. 
Students in 9-12 and 6-12 schools in Districts 1-32 are in attendance.",
2020-2021,6/25/21,Last day of school for all students.,
2019-2020,9/5/19,First Day of School (partial school day for pre-k public school students),
2019-2020,9/12/19,Parent Teacher Conferences (elementary schools and k-8 schools),
2019-2020,9/18/19,Parent Teacher Conferences (middle schools),
2019-2020,9/26/19,"Parent Teacher Conferences (high schools, k-12 and 6-12 schools)",
2019-2020,9/30/22,Rosh Hashanah SCHOOLS ARE CLOSED,
2019-2020,10/1/22,Rosh Hashanah SCHOOLS ARE CLOSED,
2019-2020,9/19/19,Yom Kippur SCHOOLS ARE CLOSED,
2019-2020,10/14/19,Columbus Day SCHOOLS ARE CLOSED,
2019-2020,11/5/19,"Election Day, students do not attend school",
2019-2020,Nov 6-7 2019,"Parent Teacher Conferences (middle schools, District 75 programs)",
2019-2020,11/11/19,Veterans Day SCHOOLS ARE CLOSED,
2019-2020,Nov 21-22 2019,"Parent Teacher Conferences (high schools, k-12 and 6-12 schools)",
2019-2020,Nov 28-29 2019,Thanksgiving Recess SCHOOLS ARE CLOSED,
2019-2020,Dec 23-31 2019,Winter Recess SCHOOLS ARE CLOSED,
2019-2020,1/1/20,Winter Recess SCHOOLS ARE CLOSED,
2019-2020,1/20/20,Dr. Martin Luther King Jr. Day SCHOOLS ARE CLOSED,
2019-2020,1/27/20,"January Clerical Day (high school and 6-12 school students do not attend, unless enrolled in a District 75 program)",
2019-2020,Feb 17-21 2020,Midwinter Recess SCHOOLS ARE CLOSED,
2019-2020,Mar 4-5 2020,Parent Teacher Conferences (elementary schools and k-8 schools),
2019-2020,Mar 12-13  2020,Parent Teacher Conferences (middle schools and District 75 programs),
2019-2020,Mar 19-20  2020,"Parent Teacher Conferences (high schools, k-12 and 6-12 schools)",
2019-2020,Apr 9-17  2020,Cancelled,Spring Recess
2019-2020,5/7/20,Parent Teacher Conferences (elementary schools and k-8 schools),
2019-2020,5/14/20,Parent Teacher Conferences (middle schools),
2019-2020,5/21/20,"Parent Teacher Conferences (high schools, k-12 and 6-12 schools)",
2019-2020,5/25/20,Memorial Day SCHOOLS ARE CLOSED,
2019-2020,6/4/20,"CANCELLED Anniversary Day/Chancellor’s Conference Day for Staff Development, students do not attend school",
2019-2020,6/9/20,"CANCELLED June Clerical Day for Lower Grades, elementary school, middle school and District 75 students do not attend",
2019-2020,6/26/20,Last Day of School,
2018-2019,9/10/18,Rosh Hashanah (schools closed),
2018-2019,9/11/18,Rosh Hashanah (schools closed),
2018-2019,9/19/18,Yom Kippur (schools closed),
2018-2019,10/8/18,Columbus Day Observed (schools closed),
2018-2019,11/6/18,Election Day (students do not attend school),
2018-2019,11/12/18,Veterans Day Observed (schools closed),
2018-2019,11/22/18,Thanksgiving Recess (schools closed),
2018-2019,11/23/18,Thanksgiving Recess (schools closed),
2018-2019,Dec 24-31 2018,Winter Recess (schools closed),
2018-2019,1/1/19,Winter Recess (schools closed),
2018-2019,1/21/19,Dr. Martin Luther King Jr. Day (schools closed),
2018-2019,1/28/19,"Chancellor's Conference Day for High Schools. High school students do not attend school, except those enrolled at D75 school programs.",
2018-2019,2/5/19,Lunar New Year (schools closed),
2018-2019,feb 18-22 2019,Midwinter Recess (schools closed),
2018-2019,Apr 19-26 2019,Spring Recess (schools closed),
2018-2019,5/27/19,Memorial Day (schools closed),
2018-2019,6/4/19,Eid al-Fitr (schools closed),
2018-2019,6/6/19,Anniversary Day (students do not attend school),
2018-2019,6/11/19,"June Clerical Day. Elementary school, middle school, and D75 students do not attend school.",
2018-2019,6/27/2019-9/4/2019,Summer Recess,
2017-2018,9/5/17,Teachers report to school. Students will not be in attendance.,
2017-2018,9/6/17,Chancellor's Conference Day for staff development. Students will not be in attendance.,
2017-2018,Sept 21-22 2017,Rosh Hashanah (schools closed),
2017-2018,10/9/17,Columbus Day observed (schools closed),
2017-2018,11/7/17,Election Day. Chancellor's Conference Day for staff development. Students will not be in attendance.,
2017-2018,Nov 23-24 2017,Thanksgiving Recess (schools closed),
2017-2018,1/1/18,Winter recess (schools closed),
2017-2018,Dec 25-31 2017,Winter recess (schools closed),
2017-2018,1/15/18,Dr. Martin Luther King Jr. Day (schools closed),
2017-2018,1/29/18,High school Chancellor's Conference Day for staff development. (District 75 high school students will still have classes.)*,
2017-2018,Feb 16-23 2018,Midwinter recess (schools closed),
2017-2018,April 1-6 2018,Spring recess (schools closed),
2017-2018,March 30-1 2018,Spring recess (schools closed),
2017-2018,5/28/18,Memorial Day (schools closed),
2017-2018,6/7/18,Anniversary Day. Chancellor's Conference Day for staff development. Students will not be in attendance.,
2017-2018,6/11/18,"June Clerical Day for students in elementary school, middle school and District 75 school programs.*",
2017-2018,6/15/18,Eid al-Fitr (schools closed),
2017-2018,6/22/18,"Regents Rating Day. In non-District 75 high schools, students  will not be in attendance. All other students will be in  attendance.",
2017-2018,6/27/2018-9/4/2018,Last Day For All Students.,
