Year,Month,0
2021,9,31.48115008351229
2021,10,37.26010196374622
2021,11,34.415202994529224
2021,12,32.1297629499561
2022,1,32.35380636819137
2022,2,30.607791989229217
2022,3,30.521185304371144
2022,4,32.17592273197654
2022,5,32.991584339553604
2022,6,31.665940224159403
2022,9,37.572334220869784
2022,10,41.447752420470266
