Reason,delay_time
Accident,42.36400541271989
Delayed by School,25.995179063360883
Flat Tire,21.031906300484653
Heavy Traffic,34.9697851221235
Late return from Field Trip,33.923529411764704
Mechanical Problem,24.362798264642084
Other,36.90603268428373
Problem Run,45.78575466365178
Weather Conditions,33.431855500821015
Won`t Start,15.25478577939836
